"event_key","event_name","event_week","event_start_date","event_end_date","event_type","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm72","qm","1","72","frc1058","frc1729","frc213","48","","frc1512","frc2791","frc319","47",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm73","qm","1","73","frc230","frc238","frc58","88","","frc1247","frc1277","frc3585","40",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm74","qm","1","74","frc1153","frc3323","frc3566","53","","frc1519","frc166","frc885","102",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qm75","qm","1","75","frc133","frc3467","frc3609","74","","frc1973","frc78","frc811","22",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf1m1","qf","1","1","frc3609","frc4124","frc610","128","","frc2791","frc3467","frc78","53",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf1m2","qf","1","2","frc3609","frc4124","frc610","124","","frc2791","frc3467","frc78","85",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf2m1","qf","2","1","frc133","frc1519","frc885","115","","frc1277","frc151","frc229","94",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf2m2","qf","2","2","frc133","frc1519","frc885","96","","frc1277","frc151","frc229","91",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf3m1","qf","3","1","frc131","frc138","frc58","67","","frc172","frc175","frc61","86",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf3m2","qf","3","2","frc131","frc138","frc58","116","","frc172","frc175","frc61","70",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf3m3","qf","3","3","frc131","frc138","frc58","76","","frc172","frc175","frc61","101",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf4m1","qf","4","1","frc1153","frc1991","frc230","92","","frc1512","frc1517","frc1922","52",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_qf4m2","qf","4","2","frc1153","frc1991","frc230","103","","frc1512","frc1517","frc1922","82",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_sf1m1","sf","1","1","frc3609","frc4124","frc610","108","","frc133","frc1519","frc885","81",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_sf1m2","sf","1","2","frc3609","frc4124","frc610","157","","frc133","frc1519","frc885","123",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_sf2m1","sf","2","1","frc172","frc175","frc61","101","","frc1153","frc1991","frc230","40",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_sf2m2","sf","2","2","frc172","frc175","frc61","105","","frc1153","frc1991","frc230","117",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_sf2m3","sf","2","3","frc172","frc175","frc61","125","","frc1153","frc1991","frc230","40",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_f1m1","f","1","1","frc3609","frc4124","frc610","158","","frc172","frc175","frc61","49",""
"2013nhma","BAE Systems Granite State","0","2013-02-28","2013-03-02","Regional","2013nhma_f1m2","f","1","2","frc3609","frc4124","frc610","131","","frc172","frc175","frc61","92",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm1","qm","1","1","frc2228","frc3003","frc3181","47","","frc1511","frc2809","frc3842","23",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm2","qm","1","2","frc145","frc340","frc4023","68","","frc1507","frc1765","frc578","33",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm3","qm","1","3","frc176","frc3173","frc639","66","","frc1585","frc4505","frc4508","23",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm4","qm","1","4","frc1551","frc3157","frc3687","10","","frc1591","frc3799","frc3838","21",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm5","qm","1","5","frc1518","frc73","frc907","0","","frc1405","frc2265","frc3951","13",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm6","qm","1","6","frc1126","frc191","frc772","33","","frc1559","frc2340","frc4093","22",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm7","qm","1","7","frc156","frc174","frc451","0","","frc1111","frc3015","frc4203","55",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm8","qm","1","8","frc1155","frc48","frc888","30","","frc1450","frc250","frc4071","34",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm9","qm","1","9","frc1765","frc2809","frc3003","49","","frc378","frc4505","frc907","24",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm10","qm","1","10","frc4508","frc639","frc73","27","","frc1507","frc1559","frc3181","60",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm11","qm","1","11","frc1126","frc3173","frc451","25","","frc3799","frc4023","frc772","0",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm12","qm","1","12","frc145","frc191","frc3838","109","","frc1591","frc2265","frc250","28",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm13","qm","1","13","frc1111","frc340","frc3687","40","","frc176","frc4071","frc888","31",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm14","qm","1","14","frc1155","frc3015","frc3157","57","","frc3842","frc3951","frc4093","42",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm15","qm","1","15","frc1511","frc1585","frc578","30","","frc1450","frc1518","frc4203","23",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm16","qm","1","16","frc174","frc2228","frc2340","13","","frc1405","frc1551","frc48","105",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm17","qm","1","17","frc2809","frc378","frc888","59","","frc156","frc2265","frc4508","28",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm18","qm","1","18","frc1155","frc250","frc3003","67","","frc1507","frc3173","frc3687","63",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm19","qm","1","19","frc1111","frc3842","frc772","16","","frc145","frc1585","frc3951","71",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm20","qm","1","20","frc174","frc3838","frc48","67","","frc1511","frc340","frc4093","28",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm21","qm","1","21","frc1405","frc176","frc3799","56","","frc191","frc3015","frc3181","135",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm22","qm","1","22","frc1559","frc4203","frc578","24","","frc1765","frc2340","frc907","10",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm23","qm","1","23","frc1450","frc156","frc1591","44","","frc2228","frc4023","frc73","22",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm24","qm","1","24","frc1518","frc378","frc4071","31","","frc1551","frc451","frc639","41",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm25","qm","1","25","frc2265","frc3157","frc4505","16","","frc1126","frc1507","frc1511","79",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm26","qm","1","26","frc2809","frc3173","frc4093","56","","frc1111","frc1405","frc145","53",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm27","qm","1","27","frc176","frc3838","frc907","32","","frc156","frc48","frc772","42",""
"2013nyro","Finger Lakes","0","2013-02-28","2013-03-02","Regional","2013nyro_qm28","qm","1","28","frc1559","frc340","frc3951","43","","frc1450","frc3003","frc451","90",""
