"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","red_score_breakdown","blue1","blue2","blue3","blue_score","blue_score_breakdown"
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm75","qm","1","75","frc1100","frc58","frc97","37","","frc166","frc241","frc42","23",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm76","qm","1","76","frc1153","frc151","frc1922","20","","frc1547","frc1824","frc1831","43",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm77","qm","1","77","frc287","frc350","frc562","36","","frc1512","frc190","frc529","23",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qm78","qm","1","78","frc1289","frc238","frc836","26","","frc133","frc1517","frc213","50",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf1m1","qf","1","1","frc1100","frc151","frc213","46","","frc1058","frc40","frc42","42",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf1m2","qf","1","2","frc1100","frc151","frc213","27","","frc1058","frc40","frc42","85",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf1m3","qf","1","3","frc1100","frc151","frc213","29","","frc1058","frc40","frc42","36",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf2m1","qf","2","1","frc1138","frc134","frc1474","26","","frc1276","frc133","frc1519","48",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf2m2","qf","2","2","frc1138","frc134","frc1474","30","","frc1276","frc133","frc1519","39",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf2m3","qf","2","3","frc1138","frc134","frc1474","0","","frc1276","frc133","frc1519","0",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf3m1","qf","3","1","frc1547","frc296","frc58","19","","frc1073","frc1307","frc97","30",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf3m2","qf","3","2","frc1547","frc296","frc58","45","","frc1073","frc1307","frc97","27",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf3m3","qf","3","3","frc1547","frc296","frc58","52","","frc1073","frc1307","frc97","27",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf4m1","qf","4","1","frc138","frc155","frc549","36","","frc176","frc319","frc562","67",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf4m2","qf","4","2","frc138","frc155","frc549","18","","frc176","frc319","frc562","59",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_qf4m3","qf","4","3","frc138","frc155","frc549","0","","frc176","frc319","frc562","0",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_sf1m1","sf","1","1","frc1276","frc133","frc1519","62","","frc1058","frc40","frc42","16",""
"2006nh","BAE SYSTEMS Granite State","2006-03-02","2006-03-04","2006nh_sf1m2","sf","1","2","frc1276","frc133","frc1519","66","","frc1058","frc40","frc42","14",""
