"key","number","name","city","state_prov","country","rookie_year"
"frc1318","1318","Issaquah Robotics Society","Issaquah","Washington","USA","2004"
"frc1319","1319","Flash","Mauldin","South Carolina","USA","2004"
"frc1322","1322","GRAYT Leviathons (Genesee Robotics Area Youth Team)","Fenton","Michigan","USA","2004"
"frc1323","1323","MadTown Robotics","Madera","California","USA","2004"
"frc1325","1325","Inverse Paradox","Mississauga","Ontario","Canada","2004"
"frc1329","1329","ViPrs","Saint Louis","Missouri","USA","2004"
"frc133","133","B.E.R.T.","Standish","Maine","USA","1997"
"frc1332","1332","SWIFT","Collbran","Colorado","USA","2004"
"frc1334","1334","Red Devils","Oakville","Ontario","Canada","2004"
"frc1339","1339","AngelBotics","Denver","Colorado","USA","2004"
"frc135","135","Penn Robotics Black Knights","Mishawaka","Indiana","USA","1998"
"frc1350","1350","The Rambots","Providence","Rhode Island","USA","2004"
"frc1351","1351","TKO","San Jose","California","USA","2004"
"frc1359","1359","Scalawags","Lebanon","Oregon","USA","2004"
"frc136","136","Killer Kardinals","Plainfield","New Jersey","USA","1997"
"frc1360","1360","Orbit Robotics","Oakville","Ontario","Canada","2004"
"frc1369","1369","Minotaur","Tampa","Florida","USA","2004"
"frc1370","1370","Thermogenesis","Middletown","Delaware","USA","2004"
"frc1374","1374","Amped Up","Oakville","Ontario","Canada","2004"
"frc1378","1378","Hilo Viking Robotics","Hilo","Hawaii","USA","2004"
"frc138","138","Entropy","Amherst","New Hampshire","USA","1996"
"frc1382","1382","ETEP Team","São José dos Campos","São Paulo","Brazil","2004"
"frc1388","1388","Eagle Robotics","Arroyo Grande","California","USA","2004"
"frc1389","1389","The Body Electric","Bethesda","Maryland","USA","2004"
"frc1391","1391","The Metal Moose","West Chester","Pennsylvania","USA","2004"
"frc1396","1396","Pyrobots","Staten Island","New York","USA","2004"
"frc1398","1398","1398 Robo-Raiders","Columbia","South Carolina","USA","2004"
"frc1403","1403","Team 1403 Cougar Robotics","Skillman","New Jersey","USA","2004"
"frc1405","1405","Finney Falcons","Penfield","New York","USA","2004"
"frc141","141","WOBOT","Holland","Michigan","USA","1995"
"frc1410","1410","The Kraken","Denver","Colorado","USA","2004"
"frc1413","1413","Skrappy 1413","Skipwith","Virginia","USA","2004"
"frc1414","1414","IHOT","Atlanta","Georgia","USA","2004"
"frc1418","1418","Vae Victis","Falls Church","Virginia","USA","2004"
"frc1421","1421","Team CHAOS","Picayune","Mississippi","USA","2004"
"frc1422","1422","The Neon Knights","Fresno","California","USA","2004"
"frc1425","1425","Error Code Xero","Wilsonville","Oregon","USA","2004"
"frc1432","1432","Metal Beavers","Portland","Oregon","USA","2004"
"frc1438","1438","The A Team","Anaheim","California","USA","2004"
"frc144","144","Operation Orange","Hamilton","Ohio","USA","1994"
"frc1444","1444","Lightning","Saint Louis","Missouri","USA","2004"
"frc1446","1446","Robo Knights","Washington","District of Columbia","USA","2004"
"frc1448","1448","Parsons Vikings","Parsons","Kansas","USA","2004"
"frc145","145","T-Rx","Norwich","New York","USA","1997"
"frc1450","1450","XQ Robotix","Rochester","New York","USA","2004"
"frc1452","1452","Omnicats","Los Angeles","California","USA","2004"
