"event_key","event_name","event_start_date","event_end_date","match_key","match_comp_level","match_set","match_number","red1","red2","red3","red_score","blue1","blue2","blue3","blue_score"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm63","qm","1","63","frc2457","frc4208","frc525","16","frc1775","frc1985","frc3528","49"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm64","qm","1","64","frc1802","frc1825","frc1984","33","frc1737","frc2345","frc3507","23"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm65","qm","1","65","frc1448","frc2560","frc2874","3","frc2949","frc662","frc937","12"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm66","qm","1","66","frc1730","frc1939","frc935","29","frc1782","frc1847","frc967","19"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm67","qm","1","67","frc1982","frc1987","frc2395","38","frc1723","frc1785","frc3784","1"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm68","qm","1","68","frc2164","frc2167","frc3973","0","frc1810","frc1986","frc2972","21"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm69","qm","1","69","frc1652","frc1763","frc1769","12","frc2335","frc3485","frc3528","28"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm70","qm","1","70","frc1764","frc1997","frc525","24","frc2996","frc3507","frc4208","28"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm71","qm","1","71","frc1737","frc1985","frc2001","19","frc1108","frc1827","frc938","9"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm72","qm","1","72","frc1094","frc2004","frc2345","12","frc1775","frc1777","frc1806","25"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm73","qm","1","73","frc1984","frc1994","frc931","17","frc16","frc2457","frc3764","33"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm74","qm","1","74","frc2346","frc2353","frc3798","19","frc1208","frc1825","frc3931","52"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm75","qm","1","75","frc1847","frc2357","frc3284","37","frc1448","frc1802","frc2410","0"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm76","qm","1","76","frc1810","frc1987","frc967","32","frc1764","frc1769","frc1985","22"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm77","qm","1","77","frc1723","frc1939","frc1986","32","frc1094","frc2996","frc937","14"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm78","qm","1","78","frc16","frc2395","frc662","40","frc2001","frc2345","frc2972","26"
"2012kc","Greater Kansas City","2012-03-01","2012-03-03","2012kc_qm79","qm","1","79","frc1827","frc2004","frc525","9","frc1730","frc1825","frc931","30"
